Collections,Sales,Buyers,Txns,Owners
Axie Infinity,"4,09,02,22,023","17,90,587","1,76,70,824","21,30,467"
Bored Ape Yacht Club,"2,43,97,54,017","12,052","32,670","6,586"
CryptoPunks,"2,38,84,67,992","6,076","22,269","3,804"
Mutant Ape Yacht Club,"1,74,48,22,678","23,768","51,775","13,121"
Art Blocks,"1,31,07,34,558","33,549","1,84,470","36,091"
Otherdeed,"1,05,42,65,540","26,351","59,673","34,703"
NBA Top Shot,"1,03,28,99,753","4,46,514","2,18,17,564","6,94,026"
Azuki,"80,19,10,254","14,797","32,916","5,299"
CloneX,"73,56,52,504","11,266","21,964","9,731"
Moonbirds,"59,52,71,415","13,332","19,069","6,665"
Doodles,"53,01,61,052","13,665","27,563","6,348"
Meebits,"52,49,72,782","12,578","34,879","6,737"
Sorare,"44,00,03,187","1,18,395","38,37,807","1,58,198"
The Sandbox,"37,15,33,094","27,796","62,345","19,033"
Cool Cats,"36,90,11,549","12,797","32,167","5,699"
Bored Ape Kennel Club,"35,03,04,508","10,576","24,508","5,593"
Loot,"28,03,80,848","4,310","12,115","2,605"
World Of Women,"24,87,61,610","10,959","27,412","5,613"
Cryptoadz,"24,60,20,311","10,116","22,704","4,190"
VeeFriends,"24,01,07,018","6,545","14,833","5,219"
Crabada,"22,69,18,588","10,179","2,03,615","9,737"
Beanz,"22,57,45,147","10,902","23,670","7,529"
CyberKongz,"20,39,93,499","4,227","7,310","2,267"
Farmers World,"19,64,37,030","78,198","54,00,552","2,92,657"
ZED RUN,"19,20,86,783","79,686","6,78,567","67,093"
Solana Monkey Business,"18,90,47,919","4,547","10,653","6,892"
Pudgy Penguins,"18,63,00,780","13,754","35,737","4,565"
MekaVerse,"17,56,79,385","7,065","14,588","4,679"
NFT Worlds,"16,57,73,561","11,938","28,711","6,251"
0N1 Force,"16,05,31,846","9,967","21,621","4,373"
HAPE PRIME,"16,01,97,120","6,896","13,058","4,443"
Degenerate Ape Academy,"14,03,09,583","8,119","21,494","5,307"
Karafuru,"13,33,24,440","10,868","17,106","3,768"
Okay Bears,"13,13,39,554","9,304","25,828","10,005"
MFER,"12,59,00,806","13,945","30,138","5,670"
projectPXN,"12,54,01,487","13,693","23,303","6,087"
Invisible Friends,"12,36,48,030","8,547","11,342","3,980"
FLUF World,"12,17,27,327","7,381","21,731","3,568"
Creature World NFT,"11,93,74,792","12,795","26,565","6,152"
Emblem Vault,"11,49,12,761","5,694","21,629","6,337"
PhantaBear,"10,69,96,458","8,972","18,259","5,110"
Cool Pets,"10,69,53,411","17,913","30,300","9,314"
CyberBrokers,"10,61,31,398","7,753","18,144","3,416"
KaijuKingz,"10,60,95,806","8,814","13,458","4,236"
Prime Ape Planet,"10,40,61,665","8,996","17,527","4,529"
LOSTPOETS,"10,17,41,321","8,906","27,398","5,737"
World Of Women Galaxy,"9,95,37,264","13,708","23,634","11,811"
Ethereum Name Service,"9,87,08,955","42,087","1,59,494","4,87,632"
Lazy Lions,"9,83,48,784","12,105","28,792","5,113"
DeadFellaz,"9,82,28,843","14,130","28,894","6,413"
The Doge Pound,"9,72,77,668","8,718","17,473","5,459"
The n project,"9,55,47,838","5,186","13,151","2,992"
3Landers,"9,50,69,771","11,838","23,548","6,037"
goblintown,"9,39,35,318","11,921","34,633","4,642"
Vox Collectibles,"9,11,55,683","7,123","19,144","3,242"
ALIENFRENS,"8,98,87,901","16,341","33,247","6,644"
Aurory,"8,93,08,460","6,969","16,362","4,340"
Hashmasks,"8,82,89,847","6,389","20,228","5,300"
Psychedelics Anonymous Genesis,"8,70,58,937","14,978","25,295","5,623"
Impostors Genesis,"8,18,78,793","10,374","17,805","4,822"
WebbLand,"8,11,81,702","11,388","23,836","4,542"
Yield Hunt Hunters,"8,07,30,684","4,580","15,480","5,924"
Wolf Game,"7,96,67,906","5,229","14,105","4,071"
Capsule,"7,96,59,503","9,680","28,548","3,845"
VeeFriends Series 2,"7,73,09,774","13,436","26,767","22,242"
V1 Cryptopunks Wrapped,"7,69,09,170","1,062","2,361",798
Sup Ducks,"7,47,17,648","8,421","20,327","3,743"
Sneaky Vampire Syndicate,"7,45,81,344","7,156","16,545","4,537"
Mooncats,"7,39,35,495","9,425","25,856","6,642"
Adam Bomb Squad,"7,31,54,277","14,983","40,864","8,600"
SuperNormalbyZipcy,"7,08,79,519","6,115","14,239","3,950"
Pixelmon,"7,02,93,550","9,968","19,883","4,125"
Hero,"6,80,36,393","7,602","13,357","4,523"
The Currency Eth,"6,76,09,346","2,107","3,221","2,057"
CryptoSkulls,"6,69,35,067","9,977","23,425","4,010"
Metroverse City Block,"6,66,09,131","7,637","19,805","3,046"
MURI,"6,62,93,910","17,775","32,637","5,724"
Lives of Asuna,"6,54,78,676","15,961","27,418","4,978"
CryptoPhunksV2,"6,47,47,609","5,210","16,887","2,842"
Rumble Kong League,"6,27,26,536","5,179","13,426","3,098"
Arcade Land,"6,25,55,901","10,270","21,145","5,207"
Gods Unchained Immutable,"6,18,98,626","65,123","89,70,224","1,61,350"
DeGods,"6,18,06,433","4,516","9,128","4,271"
FULL SEND METACARD,"6,07,26,471","12,298","19,879","7,013"
GalacticApes,"6,06,96,875","8,239","21,419","3,468"
MutantCats,"6,03,31,754","10,337","24,303","3,641"
Nanopass,"5,95,12,226","10,043","14,735","3,770"
Galactic Gecko Space Garage,"5,94,35,468","10,115","32,145","3,998"
Anonymice,"5,70,14,447","4,405","10,175","2,676"
Neo Tokyo Identities,"5,62,83,923",843,"1,103","1,829"
MetaHero Universe Generative,"5,56,26,083","2,209","3,903","3,030"
Shadowy Super Coder,"5,53,26,823","3,127","7,973","2,255"
JRNY NFT Club,"5,51,79,074","4,325","7,692","5,763"
Killer GF,"5,51,67,285","7,809","16,875","3,996"
NFL All Day,"5,50,10,535","42,880","13,55,252","93,196"
Kiwami,"5,31,74,024","11,746","29,919","3,816"
CryptoBatz by Ozzy Osbourne,"5,26,11,791","12,406","18,462","6,298"
Lil Heroes,"5,24,09,947","5,006","9,961","3,829"
Crypto Bull Society,"5,16,61,192","6,438","12,848","3,952"
Tubby Cats,"5,14,67,366","21,775","42,480","8,972"
HypeBears,"5,12,85,968","17,538","26,745","5,184"
Imaginary Ones,"5,12,28,839","14,384","22,101","4,663"
CryptoMories,"4,97,58,897","12,400","28,119","5,227"
Robotos Official,"4,95,47,645","11,993","24,923","5,637"
The Shiboshis,"4,94,91,290","4,052","10,653","3,678"
Galaxy Eggs,"4,94,36,365","8,413","19,086","4,527"
ZombieClub Token,"4,88,57,891","7,212","10,983","3,262"
Autoglyphs,"4,86,97,026",198,367,166
Boss Beauties,"4,85,36,933","10,846","22,342","5,573"
Treeverse,"4,85,00,834","5,878","13,224","3,489"
Crypto Unicorns,"4,81,18,931","8,401","96,408","5,753"
My Pet Hooligan,"4,80,68,483","9,520","18,303","4,612"
Akutars,"4,76,62,219","3,337","7,047","5,361"
Chain Runners,"4,71,57,598","5,223","12,233","3,370"
PUNKS Comic,"4,70,22,789","4,165","8,443","3,872"
Panini America,"4,64,44,604","14,746","10,32,037","13,164"
MurakamiFlowers,"4,61,99,123","2,882","4,532","5,784"
Desperate ApeWives,"4,60,76,701","5,937","14,952","4,219"
Sevens Token,"4,44,48,956","6,463","13,071","3,192"
ApeKidsClub,"4,37,86,752","10,144","22,616","4,902"
The Humanoids,"4,36,68,262","10,339","23,423","4,727"
Quirkies,"4,29,82,059","6,941","17,025","2,178"
Forgotten Runes,"4,28,91,088","4,874","14,765","3,096"
The Sevens,"4,28,27,906","6,401","12,555","3,193"
C-01 Official Collection,"4,24,32,523","7,189","13,777","4,469"
Koala Intelligence Agency,"4,23,50,975","9,087","19,639","4,940"
Cryptovoxels,"4,18,44,916","3,223","11,970","2,427"
OxyaOriginProject,"4,18,18,521","6,351","14,301","2,729"
Alien Worlds,"4,13,91,160","4,89,108","57,10,821","38,43,236"
MOAR by Joan Cornella,"4,09,61,208","5,478","9,603","2,951"
Inbetweeners,"4,07,58,957","7,392","14,539","5,549"
Pixel Vault Founders DAO,"4,05,55,022","2,563","3,733","3,089"
n,"4,02,92,702","5,118","12,968","2,985"
